Order_ID,Customer_ID,Order_Date,City,Area,Food_Category,Restaurant_Type,Payment_Method,Order_Amount,Delivery_Minutes,Rating,Promo_Used
ORD00079,CUST0079,2026-05-27,Lahore,Johar Town,Beverages,Cafe,Cash,580,40,3,Yes
ORD00080,CUST0080,2026-06-14,Karachi,North Nazimabad,Desi,Cloud Kitchen,Cash,1370,30,4,No
ORD00081,CUST0081,2026-06-12,Islamabad,F-10,Desi,Fast Food,Cash,1120,33,4,No
ORD00082,CUST0082,2026-06-13,Lahore,DHA Lahore,Pizza,Fast Food,Wallet,910,29,4,Yes
ORD00083,CUST0083,2026-05-30,Karachi,North Nazimabad,Burgers,Cloud Kitchen,Cash,1150,24,5,No
ORD00084,CUST0084,2026-06-06,Islamabad,F-10,Pizza,Fast Food,Card,1670,45,3,Yes
ORD00085,CUST0085,2026-06-05,Lahore,DHA Lahore,Pizza,Fast Food,Cash,1410,45,3,Yes
ORD00086,CUST0086,2026-05-12,Karachi,Gulshan-e-Iqbal,Pizza,Casual Dining,Wallet,1770,37,3,No
ORD00087,CUST0087,2026-05-25,Lahore,Johar Town,Beverages,Cafe,Card,390,19,5,No
ORD00088,CUST0088,2026-05-11,Karachi,Gulshan-e-Iqbal,Healthy,Cloud Kitchen,Wallet,1070,46,3,No
ORD00089,CUST0089,2026-05-08,Karachi,North Nazimabad,Desi,Casual Dining,CARD,1860,37,4,Yes
ORD00090,CUST0090,2026-06-09,Karachi,North Nazimabad,Beverages,Cafe,Wallet,300,35,4,No
ORD00091,CUST0091,2026-06-12,Lahore,DHA Lahore,Burgers,Cloud Kitchen,Wallet,1260,54,3,Yes
ORD00092,CUST0092,2026-05-11,Karachi,PECHS,Pizza,Fast Food,Cash,1810,34,4,Yes
ORD00093,CUST0093,2026-05-16,Karachi,North Nazimabad,Desi,Casual Dining,Cash,2050,22,5,Yes
ORD00094,CUST0094,2026-06-13,Karachi,North Nazimabad,Beverages,Cafe,Card,410,33,3,Yes
ORD00095,CUST0095,2026-05-29,Karachi,North Nazimabad,Desi,Casual Dining,Cash,2070,57,3,Yes
ORD00096,CUST0096,2026-05-25,Karachi,North Nazimabad,Healthy,Cloud Kitchen,E-Wallet,1040,41,3,No
ORD00097,CUST0097,2026-06-07,Karachi,DHA,Burgers,Cloud Kitchen,Cash,1190,22,5,Yes
ORD00098,CUST0098,2026-06-05,Islamabad,Bahria Town ISB,Healthy,Cafe,Cash,870,49,5,Yes
ORD00099,CUST0099,2026-06-08,Lahore,Johar Town,Burgers,Cloud Kitchen,Cash,1340,47,4,No
ORD00100,CUST0100,2026-05-05,Karachi,Clifton,Beverages,Fast Food,cash,730,53,3,Yes
ORD00101,CUST0101,2026-06-03,Lahore,Johar Town,Beverages,Cafe,Card,440,51,4,No
ORD00102,CUST0102,2026-05-17,Rawalpindi,Bahria Rawalpindi,Desi,Cloud Kitchen,Card,1750,41,4,No
ORD00103,CUST0103,2026-05-01,Rawalpindi,Satellite Town,Chinese,Casual Dining,Cash,1830,21,3,Yes
ORD00104,CUST0104,2026-06-12,Karachi,North Nazimabad,Chinese,Cloud Kitchen,Cash,1260,32,4,No
ORD00105,CUST0105,2026-05-25,Karachi,PECHS,Burgers,Fast Food,Cash,1050,49,2,No
ORD00106,CUST0106,2026-05-10,Karachi,Gulistan-e-Johar,Desi,Casual Dining,Card,1390,42,4,No
ORD00107,CUST0107,2026-05-13,Islamabad,Blue Area,Burgers,Fast Food,Cash,850,32,4,Yes
ORD00108,CUST0108,2026-05-11,Karachi,Clifton,Desi,Casual Dining,Cash,880,55,3,Yes
ORD00109,CUST0109,2026-06-14,Lahore,Wapda Town,Bakery,Bakery,Cash,520,40,3,Yes
ORD00110,CUST0110,2026-05-17,Islamabad,Bahria Town ISB,Bakery,Bakery,Cash,790,28,5,No
ORD00111,CUST0111,2026-05-21,Karachi,PECHS,Beverages,Fast Food,Cash,320,49,2,No
ORD00112,CUST0112,2026-06-13,Lahore,DHA Lahore,Healthy,Cafe,E-Wallet,1060,25,5,No
ORD00113,CUST0113,2026-05-05,Karachi,Gulshan-e-Iqbal,Burgers,Cloud Kitchen,Wallet,1320,44,4,No
ORD00114,CUST0114,2026-05-05,Karachi,Clifton,Desi,Casual Dining,Card,1920,42,4,No
ORD00115,CUST0115,2026-05-13,Karachi,Gulshan-e-Iqbal,Beverages,Cafe,Cash,580,47,4,No
ORD00116,CUST0116,2026-06-04,Karachi,North Nazimabad,Bakery,Bakery,Cash,600,63,2,No
ORD00117,CUST0117,2026-05-31,Karachi,PECHS,Bakery,Bakery,Card,370,44,3,Yes
ORD00118,CUST0118,2026-05-13,Rawalpindi,Bahria Rawalpindi,Desi,Casual Dining,Card,1490,49,3,No
ORD00119,CUST0119,2026-05-09,Karachi,Clifton,Bakery,Bakery,Wallet,580,20,4,Yes
ORD00120,CUST0120,2026-05-26,Lahore,DHA Lahore,Beverages,Cafe,Wallet,600,37,5,Yes
ORD00121,CUST0121,2026-05-26,Karachi,Clifton,Desi,Casual Dining,Cash,1110,39,2,No
ORD00122,CUST0122,2026-06-04,Karachi,DHA,Pizza,Fast Food,Card,1090,37,3,No
ORD00123,CUST0123,2026-06-11,Islamabad,Bahria Town ISB,Burgers,Fast Food,Cash,1210,45,3,Yes
ORD00124,CUST0124,2026-05-16,Lahore,Model Town,Beverages,Cafe,Card,600,31,3,No
ORD00125,CUST0125,2026-05-07,Karachi,Gulshan-e-Iqbal,Bakery,Bakery,Cash,810,44,5,No
ORD00126,CUST0126,2026-05-25,Karachi,DHA,Desi,Casual Dining,cash,1790,65,2,No
ORD00127,CUST0127,2026-05-05,Karachi,Clifton,Desi,Casual Dining,Cash,1560,28,4,No
ORD00128,CUST0128,2026-06-12,Islamabad,I-8,Burgers,Fast Food,Cash,830,18,5,No
ORD00129,CUST0129,2026-06-11,Rawalpindi,Chaklala,Burgers,Fast Food,Cash,1340,26,4,No
ORD00130,CUST0130,2026-06-12,Karachi,Clifton,Pizza,Cloud Kitchen,Cash,1720,35,4,Yes
ORD00131,CUST0131,2026-06-04,Karachi,North Nazimabad,Burgers,Cloud Kitchen,Card,770,36,4,No
ORD00132,CUST0132,2026-05-10,Lahore,Gulberg,Beverages,Cafe,Wallet,330,39,4,Yes
ORD00133,CUST0133,2026-06-01,Karachi,North Nazimabad,Chinese,Cloud Kitchen,Wallet,2010,29,4,No
ORD00134,CUST0134,2026-05-13,Karachi,Gulistan-e-Johar,Chinese,Cloud Kitchen,Card,1440,33,4,Yes
ORD00135,CUST0135,2026-06-15,Islamabad,G-11,Beverages,Fast Food,Wallet,500,27,4,No
ORD00136,CUST0136,2026-05-17,Rawalpindi,Satellite Town,Chinese,Casual Dining,Cash,1070,54,3,No
ORD00137,CUST0137,2026-06-07,Lahore,Gulberg,Desi,Cloud Kitchen,Cash,1570,39,4,Yes
ORD00138,CUST0138,2026-06-07,Karachi,Gulshan-e-Iqbal,Desi,Cloud Kitchen,Cash,1040,34,5,No
ORD00139,CUST0139,2026-05-19,Lahore,Johar Town,Beverages,Cafe,Wallet,620,25,5,Yes
ORD00140,CUST0140,2026-06-09,Karachi,Clifton,Chinese,Casual Dining,Cash,1700,42,4,No
ORD00141,CUST0141,2026-05-05,Rawalpindi,Saddar,Burgers,Cloud Kitchen,Cash,1340,20,4,No
ORD00142,CUST0142,2026-06-03,Karachi,PECHS,Pizza,Cloud Kitchen,Card,1600,44,5,Yes
ORD00143,CUST0143,2026-06-10,Lahore,Wapda Town,Desi,Cloud Kitchen,Wallet,1760,40,3,No
ORD00144,CUST0144,2026-05-10,Karachi,DHA,Desi,Casual Dining,Wallet,2070,32,3,No
ORD00145,CUST0145,2026-06-01,Lahore,Johar Town,Pizza,Fast Food,Card,1630,42,5,No
ORD00146,CUST0146,2026-05-06,Karachi,PECHS,Chinese,Fast Food,Cash,1210,49,3,Yes
ORD00147,CUST0147,2026-05-31,Islamabad,I-8,Desi,Casual Dining,Cash,1690,30,5,No
ORD00148,CUST0148,2026-05-07,Karachi,North Nazimabad,Bakery,Cafe,Cash,900,44,3,Yes
ORD00149,CUST0149,2026-05-06,Islamabad,G-11,Healthy,Cafe,Wallet,1020,56,1,Yes
ORD00150,CUST0150,2026-06-05,Karachi,Gulshan-e-Iqbal,Chinese,Cloud Kitchen,Cash,860,36,5,No
ORD00151,CUST0151,2026-05-16,Karachi,DHA,Beverages,Cafe,Card,500,30,3,No
ORD00152,CUST0152,2026-05-10,Karachi,PECHS,Burgers,Cloud Kitchen,Card,1460,46,5,No
ORD00153,CUST0153,2026-05-15,Lahore,Model Town,Bakery,Bakery,Card,390,39,2,No
ORD00154,CUST0154,2026-05-07,Rawalpindi,Bahria Rawalpindi,Pizza,Fast Food,Cash,1230,37,3,No
ORD00155,CUST0155,2026-06-04,Islamabad,I-8,Chinese,Casual Dining,Cash,2020,34,3,Yes
ORD00156,CUST0156,2026-05-29,Karachi,DHA,Chinese,Cloud Kitchen,Wallet,1990,32,3,Yes
ORD00157,CUST0157,2026-06-12,Karachi,Gulshan-e-Iqbal,Desi,Cloud Kitchen,Card,1450,57,2,No
ORD00158,CUST0158,2026-06-08,Rawalpindi,Chaklala,Bakery,Bakery,Card,850,40,5,No
ORD00159,CUST0159,2026-06-15,Karachi,Gulshan-e-Iqbal,Desi,Casual Dining,Cash,1400,31,3,No
ORD00160,CUST0160,2026-05-11,Karachi,PECHS,Healthy,Cafe,Cash,1170,36,3,Yes
ORD00161,CUST0161,2026-05-06,Islamabad,Blue Area,Desi,Cloud Kitchen,Card,800,31,3,Yes
ORD00162,CUST0162,2026-06-04,Karachi,North Nazimabad,Bakery,Bakery,Card,520,26,5,No
ORD00163,CUST0163,2026-05-16,Karachi,DHA,Beverages,Cafe,Cash,740,28,5,No
ORD00164,CUST0164,2026-05-21,Karachi,DHA,Chinese,Casual Dining,Cash,940,29,5,Yes
ORD00165,CUST0165,2026-05-16,Rawalpindi,Chaklala,Bakery,Cafe,Card,820,45,5,No
ORD00166,CUST0166,2026-05-13,Islamabad,F-10,Chinese,Cloud Kitchen,Card,1510,43,4,No
ORD00167,CUST0167,2026-05-19,Karachi,Gulshan-e-Iqbal,Chinese,Cloud Kitchen,E-Wallet,870,65,3,No
ORD00168,CUST0168,2026-06-07,Karachi,North Nazimabad,Beverages,Cafe,Card,370,37,4,Yes
ORD00169,CUST0169,2026-05-22,Lahore,DHA Lahore,Beverages,Cafe,Wallet,360,30,4,No
ORD00170,CUST0170,2026-05-14,Lahore,Johar Town,Desi,Casual Dining,Wallet,1170,37,3,No
ORD00171,CUST0171,2026-06-02,Lahore,Gulberg,Desi,Cloud Kitchen,Card,960,32,4,No
ORD00172,CUST0172,2026-06-09,Karachi,DHA,Bakery,Bakery,Cash,520,29,5,No
ORD00173,CUST0173,2026-06-11,Lahore,Johar Town,Burgers,Fast Food,Cash,1330,24,5,Yes
ORD00174,CUST0174,2026-06-05,Karachi,PECHS,Pizza,Casual Dining,Cash,2420,59,2,Yes
ORD00175,CUST0175,2026-05-22,Karachi,Gulshan-e-Iqbal,Desi,Casual Dining,Cash,1110,53,3,No
ORD00176,CUST0176,2026-06-01,Karachi,Clifton,Pizza,Casual Dining,Card,2200,38,4,Yes
ORD00177,CUST0177,2026-06-06,Lahore,Model Town,Desi,Casual Dining,Card,1640,44,4,No
ORD00178,CUST0178,2026-06-13,Karachi,PECHS,Desi,Fast Food,Card,1100,39,3,Yes
ORD00179,CUST0179,2026-05-15,Islamabad,G-11,Pizza,Casual Dining,Card,1270,42,2,No
ORD00180,CUST0180,2026-05-03,Lahore,DHA Lahore,Chinese,Casual Dining,Cash,1180,70,3,Yes
ORD00181,CUST0181,2026-05-18,Lahore,Johar Town,Chinese,Cloud Kitchen,Cash,1320,37,5,Yes
ORD00182,CUST0182,2026-05-26,Rawalpindi,Saddar,Desi,Casual Dining,Cash,2060,26,4,No
ORD00183,CUST0183,2026-05-17,Karachi,DHA,Healthy,Cloud Kitchen,Card,1320,34,4,No
ORD00184,CUST0184,2026-05-11,Rawalpindi,Chaklala,Bakery,Bakery,Card,620,31,3,Yes
ORD00185,CUST0185,2026-05-26,Karachi,Clifton,Burgers,Cloud Kitchen,Card,820,22,5,No
ORD00186,CUST0186,2026-05-22,Lahore,DHA Lahore,Pizza,Fast Food,Cash,1540,41,4,No
ORD00187,CUST0187,2026-06-12,Lahore,Johar Town,Pizza,Fast Food,Wallet,1170,73,4,Yes
ORD00188,CUST0188,2026-05-23,Islamabad,G-11,Desi,Cloud Kitchen,Card,1300,25,4,No
ORD00189,CUST0189,2026-06-04,Lahore,Model Town,Bakery,Bakery,Card,640,66,1,No
ORD00190,CUST0190,2026-05-05,Rawalpindi,Saddar,Pizza,Fast Food,Card,1780,38,3,No
ORD00191,CUST0191,2026-05-19,Karachi,North Nazimabad,Pizza,Fast Food,Cash,1740,24,3,Yes
ORD00192,CUST0192,2026-05-08,Lahore,Johar Town,Chinese,Casual Dining,Cash,1240,43,4,No
ORD00193,CUST0193,2026-05-05,Karachi,PECHS,Desi,Fast Food,Wallet,720,37,3,Yes
ORD00194,CUST0194,2026-05-07,Islamabad,Bahria Town ISB,Pizza,Fast Food,Cash,1160,43,5,Yes
ORD00195,CUST0195,2026-05-06,Karachi,North Nazimabad,Pizza,Fast Food,Card,910,24,4,No
ORD00196,CUST0196,2026-05-22,Islamabad,I-8,Chinese,Casual Dining,Card,2220,30,4,No
ORD00197,CUST0197,2026-05-08,Islamabad,Blue Area,Healthy,Cafe,cash,670,57,4,No
ORD00198,CUST0198,2026-05-08,Lahore,Johar Town,Bakery,Bakery,CARD,410,28,5,No
ORD00199,CUST0199,2026-06-10,Karachi,Gulshan-e-Iqbal,Desi,Cloud Kitchen,Cash,1310,34,4,No
ORD00200,CUST0200,2026-05-06,Rawalpindi,Saddar,Pizza,Fast Food,Cash,1010,37,4,No
ORD00201,CUST0201,2026-06-02,Lahore,Johar Town,Chinese,Cloud Kitchen,Card,1330,21,5,Yes
ORD00202,CUST0202,2026-05-22,Karachi,Clifton,Beverages,Cafe,Cash,690,29,5,Yes
ORD00203,CUST0203,2026-06-15,Lahore,Model Town,Pizza,Cloud Kitchen,Wallet,1160,43,4,No
ORD00204,CUST0204,2026-06-15,Karachi,DHA,Chinese,Casual Dining,Cash,1430,45,5,Yes
ORD00205,CUST0205,2026-06-11,Islamabad,Blue Area,Burgers,Fast Food,Card,1120,39,3,No
ORD00206,CUST0206,2026-05-15,Karachi,North Nazimabad,Chinese,Cloud Kitchen,Cash,870,29,5,No
ORD00207,CUST0207,2026-05-11,Lahore,DHA Lahore,Pizza,Fast Food,Cash,1850,27,5,No
ORD00208,CUST0208,2026-05-09,Karachi,PECHS,Healthy,Cafe,Cash,1310,33,3,Yes
ORD00209,CUST0209,2026-05-08,Lahore,Gulberg,Chinese,Casual Dining,Card,2300,46,3,Yes
ORD00210,CUST0210,2026-06-14,Lahore,Gulberg,Healthy,Casual Dining,Wallet,900,38,3,Yes
ORD00211,CUST0211,2026-05-03,Islamabad,G-11,Beverages,Cafe,Cash,670,19,4,No
ORD00212,CUST0212,2026-05-02,Karachi,Gulshan-e-Iqbal,Chinese,Casual Dining,Cash,2190,26,4,No
ORD00213,CUST0213,2026-06-07,Karachi,Gulshan-e-Iqbal,Beverages,Fast Food,Wallet,480,51,3,No
ORD00214,CUST0214,2026-06-01,Islamabad,Blue Area,Beverages,Cafe,Cash,370,40,5,No
ORD00215,CUST0215,2026-06-09,Lahore,DHA Lahore,Beverages,Fast Food,Wallet,710,39,4,No
ORD00216,CUST0216,2026-05-24,Karachi,PECHS,Burgers,Fast Food,Card,1020,42,3,No
ORD00217,CUST0217,2026-06-12,Lahore,Gulberg,Pizza,Fast Food,Cash,1440,70,4,Yes
ORD00218,CUST0218,2026-06-03,Karachi,DHA,Pizza,Fast Food,Card,880,37,4,No
ORD00219,CUST0219,2026-06-12,Islamabad,Blue Area,Pizza,Cloud Kitchen,Wallet,1590,18,5,No
ORD00220,CUST0220,2026-06-15,Karachi,Gulistan-e-Johar,Beverages,Cafe,Cash,340,24,5,No
ORD00221,CUST0221,2026-06-03,Karachi,Gulshan-e-Iqbal,Burgers,Fast Food,Card,1020,22,5,No
ORD00222,CUST0222,2026-05-06,Karachi,DHA,Bakery,Bakery,Cash,500,19,3,No
ORD00223,CUST0223,2026-05-18,Karachi,Gulshan-e-Iqbal,Desi,Casual Dining,Cash,1950,35,4,No
ORD00224,CUST0224,2026-05-10,Lahore,Johar Town,Burgers,Cloud Kitchen,Cash,880,41,5,Yes
ORD00225,CUST0225,2026-05-02,Islamabad,I-8,Beverages,Fast Food,Cash,730,40,4,Yes
ORD00226,CUST0226,2026-06-09,Karachi,North Nazimabad,Desi,Fast Food,Card,690,42,3,Yes
ORD00227,CUST0227,2026-05-25,Rawalpindi,Saddar,Bakery,Bakery,Cash,350,30,5,Yes
ORD00228,CUST0228,2026-05-11,Islamabad,I-8,Burgers,Fast Food,Wallet,1390,35,5,Yes
ORD00229,CUST0229,2026-05-03,Karachi,PECHS,Desi,Cloud Kitchen,E-Wallet,1450,40,3,Yes
ORD00230,CUST0230,2026-05-21,Rawalpindi,Satellite Town,Chinese,Fast Food,Cash,780,35,4,No
ORD00231,CUST0231,2026-05-28,Karachi,North Nazimabad,Desi,Cloud Kitchen,Card,1150,45,3,No
ORD00232,CUST0232,2026-05-10,Karachi,Clifton,Bakery,Bakery,Card,460,35,5,Yes
ORD00233,CUST0233,2026-05-01,Rawalpindi,Saddar,Burgers,Cloud Kitchen,CARD,1240,48,3,Yes
ORD00234,CUST0234,2026-05-02,Rawalpindi,Chaklala,Burgers,Fast Food,Card,640,43,5,Yes
ORD00235,CUST0235,2026-05-20,Karachi,DHA,Burgers,Fast Food,Card,1070,44,4,No
ORD00236,CUST0236,2026-05-09,Rawalpindi,Chaklala,Desi,Casual Dining,Card,870,39,3,No
ORD00237,CUST0237,2026-05-16,Karachi,PECHS,Chinese,Casual Dining,Cash,1130,43,2,No
ORD00238,CUST0238,2026-05-01,Islamabad,G-11,Beverages,Cloud Kitchen,Cash,590,31,5,Yes
ORD00239,CUST0239,2026-05-11,Karachi,Gulshan-e-Iqbal,Healthy,Cafe,Cash,1240,48,4,No
ORD00240,CUST0240,2026-06-02,Karachi,DHA,Chinese,Cloud Kitchen,Cash,890,28,4,No
ORD00241,CUST0241,2026-05-30,Lahore,Model Town,Pizza,Casual Dining,Wallet,2280,29,4,Yes
ORD00242,CUST0242,2026-05-23,Karachi,Gulistan-e-Johar,Chinese,Casual Dining,Cash,1440,57,2,Yes
ORD00243,CUST0243,2026-05-24,Islamabad,Bahria Town ISB,Pizza,Cloud Kitchen,Card,1030,30,4,No
ORD00244,CUST0244,2026-05-21,Karachi,Gulistan-e-Johar,Pizza,Fast Food,Card,1110,23,4,No
